[dotenv@17.2.3] injecting env (3) from .env -- tip: ΓÜÖ∩╕Å  suppress all logs with { quiet: true }
Server is running on port 5000
2026-01-03T06:01:19.502Z ERROR [Better Auth]: Invalid origin: http://localhost:8000
2026-01-03T06:01:21.551Z ERROR [Better Auth]: Invalid origin: http://localhost:8000
2026-01-03T06:11:50.559Z ERROR [Better Auth]: Invalid origin: http://localhost:8000
2026-01-03T06:12:01.482Z ERROR [Better Auth]: Invalid origin: http://localhost:8000
2026-01-03T06:12:20.591Z ERROR [Better Auth]: Invalid origin: http://localhost:8000
2026-01-03T06:12:49.279Z ERROR [Better Auth]: Invalid origin: http://localhost:8000
2026-01-03T06:17:20.048Z ERROR [Better Auth]: Invalid origin: http://localhost:8000
2026-01-03T06:23:05.639Z ERROR [Better Auth]: Invalid origin: http://localhost:8000
2026-01-03T06:23:14.220Z ERROR [Better Auth]: Invalid origin: http://localhost:8000
2026-01-03T06:23:16.588Z ERROR [Better Auth]: Invalid origin: http://localhost:8000
